Sample,Date,T,pH,Eh,Na,K,Mg,Ca,Alk,Cl,NO3,SO4,SiO2,TDS,NH4,PO4,F,B,V
Grottanera,27-01-98,11.7,6.8,150,39.3,5.9,23,66.7,309,29.2,11.3,46.1,27,558,NA,NA,173,156,5
Moio,27-01-98,13.7,7.5,130,20.9,2.7,12.3,73.1,244,20.5,7.69,41.4,14,437,NA,NA,252,109,NA
Randazzo,27-01-98,11,7.4,130,36.1,7.8,12.6,51.1,177,28.3,34.7,49,23,420,NA,48,292,206,15
Scuderi,27-01-98,12,6.8,109,52.4,9,23,61.9,293,34,39.6,51.5,30,594,NA,NA,191,212,7
Cattalemme,10-02-98,15.3,7.49,40,206,28.5,138,28.7,1068,116,6.26,62,38,1692,NA,1310,437,678,15
Cattalemme,10-02-98,14.1,8.59,288,210,32.1,124,27.5,1043,92.2,2.85,75.8,64,1672,NA,305,454,664,16
Lavenia,10-02-98,16.1,6.77,77,124,22.7,98.1,37.9,811,46.6,9.49,23.8,54,1227,NA,593,551,217,41
Picardo,10-02-98,16.1,6.75,40,146,23.1,122,37.5,1025,61.9,1.49,11.4,68,1496,NA,NA,615,329,5.6
Pozzillo,10-02-98,14.5,7.5,110,193,25.4,133,24.2,1068,92.2,0.93,44.4,51,1632,NA,1520,541,552,14
Canneto,13-02-98,14.9,7.5,160,166,18.4,74.5,51.3,750,103,11.5,51.4,52,1279,234,NA,537,946,8
Roveto,13-02-98,11.2,7.76,114,113,13.3,58.8,52.7,488,74.4,7.01,107,32,946,NA,NA,375,536,NA
Ficominutilla,25-03-98,22.6,6.35,NA,263,25.4,198,189,2190,61.5,0.5,28.8,18,2974,NA,NA,22,2170,0.4
SA ,26-03-98,15.9,6,NA,119,20.3,106,74.5,1031,43.3,1.24,25.2,90,1510,NA,617,272,848,12.9
Sacro,26-03-98,16.4,7.35,NA,92,16.4,36.3,17.8,345,66.9,2.6,34.9,56,668,NA,431,413,500,18.8
SAICOP,26-03-98,18.4,7.31,NA,93.6,17.2,30.7,15.8,271,71.3,23.9,47.5,60,631,NA,720,610,459,35.4
Cimitero,27-03-98,17,7.34,NA,157,20.3,72.7,29.7,561,71.6,52.1,107,50,1122,NA,2130,597,875,13
Malastalla,27-03-98,16.6,7.46,NA,169,23.9,99,42.7,759,80.5,53.3,97.4,63,1387,NA,1510,563,570,16
Monacella,27-03-98,15,6.46,NA,130,16.4,41.9,41.1,552,44.8,9.73,41.6,76,953,NA,281,149,111,15.3
Mauro,22-04-98,17.6,7.53,102,44.1,13.3,50.9,85.4,177,60.5,45,249,39,764,149,148,326,NA,7.3
Grasso,22-04-98,14,6.1,157,41.2,10.2,29.7,25.3,253,20.6,12,27.8,58,478,92,88,349,NA,NA
Presa,22-04-98,12.3,8,60,27.2,4.3,4.3,5.6,64.1,16.3,0.37,15.1,25,163,72,381,299,111,NA
Cimino,23-04-98,13.2,7.83,105,168,24.6,96.1,26.9,641,126,22.2,92.2,58,1254,84,902,611,528,56
Duca,23-04-98,12,7.29,100,146,21.9,92.1,30.1,653,97.8,6.14,105,36,1188,64,900,602,472,97
Ivreri,23-04-98,13.9,8.25,NA,173,18.8,87.8,29.3,634,118,24.2,108,57,1250,93,873,611,515,56
Mura,23-04-98,15,7.65,30,170,26.3,91.2,30.5,726,116,11.7,89.6,NA,1262,114,NA,499,681,NA
Barca,23-04-98,17.1,7.78,80,225,27.4,148,51.7,869,147,115,245,38,1866,258,339,521,625,NA
Abbate,06-05-98,14.1,6.63,NA,113,19.2,89.5,39.9,747,45.1,0.99,38.4,83,1177,227,800,453,NA,12
Gentiluomo,06-05-98,17.1,7.63,130,160,20.3,93.2,34.3,625,117,21.2,132,60,1264,117,849,628,501,61
Gentiluomo,06-05-98,15.1,7.85,NA,173,22.7,94.9,23.2,668,117,25.4,124,39,1288,NA,961,628,374,61
Sanfilippo,06-05-98,15.6,6.6,186,105,18.4,90.5,41.9,781,38.1,1.36,28.8,82,1187,NA,822,418,NA,13
